Timestamp,CPU_Temp_C,RAM_Used_MB,RAM_Percent,CPU_Percent,Throttled_Hex,Throttled_Meaning
13:42:16,72.7,1456,38.2,5.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:17,72.7,1456,38.2,1.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:18,72.7,1458,38.2,4.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:19,72.15,1458,38.2,0.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:20,72.7,1458,38.2,3.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:21,73.8,1459,38.2,14.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:22,74.9,1463,38.3,3.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:23,76.55,1442,37.8,17.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:24,74.35,1449,38.0,2.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:25,74.9,1449,38.0,0.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:26,72.7,1451,38.0,3.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:27,73.8,1454,38.1,3.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:28,73.8,1456,38.2,1.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:29,77.1,1493,39.1,35.9,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:30,77.65,1568,40.9,45.4,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:31,78.2,1749,45.4,17.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:32,79.3,1815,47.0,29.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:33,79.85,1879,48.6,25.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:34,79.3,1864,48.2,25.4,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:35,77.65,1868,48.3,6.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:36,77.65,1869,48.4,6.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:37,77.65,1902,49.2,15.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:38,77.1,1903,49.2,8.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:39,77.65,1495,39.1,15.4,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:40,77.1,1444,37.9,10.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:41,77.1,1445,37.9,2.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:42,76.55,1447,37.9,1.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:43,77.1,1464,38.4,7.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:44,77.65,1467,38.4,2.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:45,77.1,1467,38.4,0.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:46,77.65,1470,38.5,3.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:47,77.1,1471,38.5,1.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:48,76.55,1472,38.6,0.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
